UnitNo,Region,RegionCode,NonUtcBU,NonUtcBUCode,BU,BUCode,LocationCode,ProductLine,SAMClassCode,SAMClass,RevenueStatus,Make,Model,ModelYear,EngineModel,VIN,OdometerMiles,TermOutDate,NBV,BookLife,Age,CustomerNo,CustomerName,RatedMargin12Mo,ActualMargin12Mo,RatedMiles12Mo,ActualMiles12Mo,FinalMVAType,MVATurnInDate,MVAFinalApproval,MVAApprovalDate,EndBillDate,AccountingStatus,OSECondition,OSEStatus,DispConditionCode,DepositDate,DepositStatus,LTDMargin,LTDMiles,Modified,Created,Action,UTCAcceptedDate,UTCAcceptedLoc,DeprAmount,UTCAcceptedPL,OSCost,DeId,GoNoGo,IsRR
146975,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2011,ISB'10 6.3L 220/2300,1FVACWDU3BHBC5593,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,3000,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,No Go,NULL
146976,WEST REGION,3488,NORTHWEST CBU,3181,NORTHWEST CBU,3181,2141,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2013,ISB'10 6.3L 220/2300,3ALACWDU4DDFE9549,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
146977,WEST REGION,3488,NORTHWEST CBU,3181,NORTHWEST CBU,3181,2141,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2012,ISB'10 6.3L 220/2300,1FVACWDU3CDBT9359,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,No Go,NULL
146978,WEST REGION,3488,NORTHWEST CBU,3181,NORTHWEST CBU,3181,2141,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2013,ISB'10 6.3L 220/2300,3ALACWDU3DDFE9543,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
146979,WEST REGION,3488,NORTHWEST CBU,3181,NORTHWEST CBU,3181,2141,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2014,ISB'13 220/2300,3ALACWDUXEDFW0822,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
146980,WEST REGION,3488,NORTHWEST CBU,3181,NORTHWEST CBU,3181,2141,RPM,51,Truck (No Body) >16K <=26K GVW,NLE    ,FRTL,M2 106                        ,2014,ISB'13 220/2300,3ALACWDU1EDFW0823,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
146981,WEST REGION,3488,NORTHWEST CBU,3181,NORTHWEST CBU,3181,2141,RPM,51,Truck (No Body) >16K <=26K GVW,NLE    ,FRTL,M2 106                        ,2015,ISB'13 220/2300,1FVDCWDT4FHGN6493,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,Go,NULL
146982,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2012,ISB'10 6.3L 220/2300,1FVACWDU5CHBF6393,177757,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,-51800,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,No Go,NULL
146983,FMS EAST REGION,3450,CAROLINAS CBU,3325,CAROLINAS CBU,3325,238,RPM,51,Truck (No Body) >16K <=26K GVW,NYE    ,FRTL,M2 106                        ,2012,ISB'10 6.3L 220/2300,1FVACWDU4CHBL6298,0,NULL,0,0,50,56292,LOWE'S COMPANIES INC,0,0,50000,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,0,NULL,00:01.4,01:07.6,U,NULL,NULL,0,NULL,NULL,NULL,No Go,NULL
146990,RVS INTRNL FLEET VS,5349,UTC WEST REGION,3402,RVS UTC WEST FLEET,3408,3408,OFFL,125,Unidentifiable Truck,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,Ryder Verified,NULL,NULL,0,NULL,00:19.6,00:39.6,U,00:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
