vehicle_grp,class,age_acpt,proceeds,age_sale,age_sale_grp,cond_code,days_on_lot,Ask,Take,Proceed_Over_Ask,Proceed_Over_Take,LOCATION_CODE__c,y
TRACTOR,140,146,25000,149,145 - 150,10,88,33994,30994,0.735423898,0.806607731,2438,0
TRACTOR,130,95,11999,96,091 - 096,50,23,14999,11999,0.799986666,1,3397,0
TRUCK,50,82,16250,88,085 - 090,50,173,28400,25400,0.572183099,0.63976378,2619,1
TRAILER,180,147,5000,148,145 - 150,10,7,12500,11500,0.4,0.434782609,2392,0
TRUCK,60,68,8700,74,073 - 078,10,206,31150,28150,0.27929374,0.309058615,2619,1
TRACTOR,132,87,11500,87,085 - 090,50,0,35760,32760,0.321588367,0.351037851,2619,1
TRUCK,90,92,12405,92,091 - 096,10,9,13910,10910,0.891804457,1.137030248,2756,0
TRUCK,80,112,22331,114,109 - 114,10,59,23775,20775,0.939263933,1.074897714,2446,0
TRUCK,60,139,20700,140,139 - 144,50,28,28264,25264,0.732380413,0.819347688,3377,0
TRUCK,60,100,26836,103,103 - 108,10,97,32241,29241,0.832356317,0.917752471,2483,0
TRUCK,60,119,3750,122,121 - 126,30,68,20150,17150,0.186104218,0.218658892,2772,0
TRAILER,180,138,11762,138,133 - 138,40,12,12857,11857,0.914832387,0.991987855,3408,1
TRAILER,180,120,10600,122,121 - 126,10,43,12750,11750,0.831372549,0.90212766,3299,0
TRAILER,180,138,11762,138,133 - 138,40,13,12857,11857,0.914832387,0.991987855,3408,1
TRUCK,50,83,35000,85,085 - 090,10,70,37400,34400,0.935828877,1.017441861,3123,0
TRAILER,180,133,5200,133,133 - 138,30,1,12500,11500,0.416,0.452173913,2768,0
TRUCK,90,99,24735,101,097 - 102,10,51,28327,25327,0.873195185,0.976625735,2756,0
TRUCK,120,127,24000,133,133 - 138,50,188,50500,47500,0.475247525,0.505263158,2785,1
TRUCK,120,103,31950,116,115 - 120,10,379,48500,45500,0.658762887,0.702197802,3299,0
TRUCK,21,83,11700,84,079 - 084,50,34,13807,12807,0.847396248,0.913562895,2483,0
TRUCK,21,79,7800,88,085 - 090,30,280,24325,23325,0.32065776,0.334405145,2390,0
TRAILER,180,143,14500,143,139 - 144,50,5,18450,17450,0.785907859,0.830945559,2443,0
TRUCK,30,102,17930,103,103 - 108,10,17,20383,19383,0.879654614,0.925037404,3172,0
TRAILER,200,120,3500,124,121 - 126,30,105,9313,8313,0.375818748,0.421027307,2403,0
TRUCK,60,112,21000,122,121 - 126,10,311,32394,29394,0.648268198,0.714431517,2444,0
TRUCK,110,89,16500,96,091 - 096,10,209,31216,28216,0.52857509,0.584774596,3408,1
TRACTOR,140,44,30000,51,049 - 054,10,221,51590,48590,0.581508044,0.61741099,2785,1
TRACTOR,170,100,37597,102,097 - 102,10,57,40097,35097,0.937651196,1.071231159,2483,0
TRUCK,30,112,18750,113,109 - 114,10,36,22569,20569,0.830785591,0.911565949,2682,0
TRACTOR,140,66,31000,71,067 - 072,10,141,39550,38550,0.783817952,0.804150454,2686,0
TRACTOR,140,157,14000,163,163 - 168,10,185,28250,25250,0.495575221,0.554455446,3408,1
TRAILER,200,156,1405,156,151 - 156,30,15,15250,14250,0.092131148,0.098596491,3274,0
TRAILER,200,146,14500,153,151 - 156,10,189,15750,14750,0.920634921,0.983050848,2709,0
TRACTOR,130,166,5000,167,163 - 168,30,56,22000,20000,0.227272727,0.25,3289,0
TRUCK,60,94,18550,96,091 - 096,10,51,23514,20514,0.788891724,0.904260505,2682,0
TRUCK,31,74,8000,85,085 - 090,30,355,25072,23072,0.319081047,0.346740638,2443,0
TRACTOR,140,88,28500,93,091 - 096,10,142,33758,30758,0.844244327,0.926588205,2344,0
TRUCK,80,88,14400,95,091 - 096,10,202,27261,24261,0.528227138,0.593545196,2619,1
TRUCK,90,56,21995,63,061 - 066,10,209,28000,27000,0.785535714,0.81462963,3227,0
TRACTOR,170,68,16500,73,073 - 078,10,135,40552,39552,0.406884987,0.41717233,3408,1
TRUCK,60,55,19600,62,061 - 066,10,223,45643,44643,0.429419626,0.439038595,3408,1
TRUCK,110,92,24746,93,091 - 096,50,44,34993,31993,0.707170005,0.773481699,2027,0
TRAILER,200,99,17200,105,103 - 108,10,179,22295,21295,0.771473425,0.807701338,2392,0
TRACTOR,140,48,31000,57,055 - 060,10,248,50987,47987,0.607998117,0.646008294,2785,1
TRUCK,60,68,35500,75,073 - 078,10,235,45179,44179,0.785763297,0.803549198,3403,0
TRUCK,60,48,27876,53,049 - 054,10,156,37150,34150,0.750363392,0.816281113,2566,0
TRACTOR,170,77,20000,77,073 - 078,10,14,43721,42721,0.457446079,0.468153835,3408,1
TRUCK,30,63,11650,70,067 - 072,10,197,22139,21139,0.526220697,0.551114055,2785,1
TRUCK,30,73,10095,78,073 - 078,10,156,21691,20691,0.465400397,0.487893287,2750,0
TRUCK,60,60,41000,65,061 - 066,10,142,53900,50900,0.760667904,0.805500982,3403,0
TRUCK,50,75,25073,77,073 - 078,10,47,25073,24073,1,1.041540315,2495,0
TRUCK,50,79,9300,84,079 - 084,50,158,23284,22284,0.399415908,0.417339795,2619,1
TRACTOR,140,73,46500,73,073 - 078,10,15,49500,46500,0.939393939,1,2771,0
TRUCK,60,75,30500,80,079 - 084,10,134,44080,43080,0.691923775,0.707985144,2785,1
TRACTOR,140,63,35000,66,061 - 066,10,86,41704,38704,0.839248034,0.904299297,2443,0
TRUCK,50,83,22062,85,085 - 090,10,61,25582,24582,0.862403252,0.897485965,3196,0
TRUCK,80,46,24500,59,055 - 060,10,371,51389,48389,0.476755726,0.506313418,3408,1
TRACTOR,130,118,25000,122,121 - 126,10,107,28322,26322,0.882706024,0.949775853,2567,0
TRUCK,60,62,12900,73,073 - 078,10,364,31585,28585,0.408421719,0.451285639,2785,1
TRUCK,70,57,12700,64,061 - 066,50,231,36159,33159,0.351226527,0.383003106,2619,1
TRACTOR,170,74,42000,77,073 - 078,10,102,44915,39915,0.935099633,1.052236002,3274,0
TRACTOR,170,56,24905,58,055 - 060,10,50,31562,28562,0.789081807,0.871962748,2408,1
TRUCK,50,124,21300,127,127 - 132,10,99,27703,24703,0.768869798,0.862243452,2389,0
TRUCK,70,94,5500,97,097 - 102,30,81,41225,38225,0.13341419,0.143884892,2785,1
TRUCK,30,41,5300,41,037 - 042,30,1,34919,31919,0.151779833,0.166045302,2768,0
TRACTOR,140,83,36750,88,085 - 090,10,144,47107,44107,0.780138833,0.833201079,3408,1
TRACTOR,170,44,24000,54,049 - 054,10,319,46303,43303,0.518324947,0.554234118,2619,1
TRACTOR,140,90,39221,91,091 - 096,10,55,39221,38221,1,1.026163627,3227,0
TRUCK,90,75,7800,86,085 - 090,10,344,20000,19000,0.39,0.410526316,2619,1
TRACTOR,130,79,23000,89,085 - 090,10,315,33050,30050,0.69591528,0.765391015,1328,0
TRACTOR,130,119,16500,124,121 - 126,10,160,28431,26431,0.580352432,0.624266959,2785,1
