vehicle_grp,class,age_acpt,proceeds,age_sale,age_sale_grp,cond_code,days_on_lot,Ask,Take,Proceed_Over_Ask,Proceed_Over_Take,LOCATION_CODE__c,y
TRAILER,180,121,6000,121,121 - 126,50,16,8335,7335,0.719856029,0.81799591,3274,0
TRUCK,60,92,30000,93,091 - 096,10,29,34872,31872,0.860289057,0.94126506,2754,0
TRACTOR,140,92,21500,99,097 - 102,10,211,33584,30584,0.640185803,0.702981951,2785,1
TRACTOR,140,104,16458,105,103 - 108,10,10,31916,30916,0.515666124,0.532345711,3289,0
TRUCK,90,85,10250,99,097 - 102,50,425,34525,31525,0.296886314,0.325138779,2785,1
TRACTOR,170,71,38587,74,073 - 078,10,86,42864,39864,0.900219298,0.967966085,2566,0
TRACTOR,170,105,27800,120,115 - 120,10,459,41384,38384,0.671757201,0.724260108,2443,0
TRACTOR,130,88,21905,97,097 - 102,10,269,29271,27271,0.748351611,0.803234205,2386,0
TRUCK,120,135,35000,142,139 - 144,10,214,48157,45157,0.72678946,0.775073632,2438,0
TRUCK,30,98,9200,103,103 - 108,10,171,22440,21440,0.409982175,0.429104478,2682,1
TRUCK,90,97,14500,102,097 - 102,50,153,20668,20668,0.701567641,0.701567641,3227,0
TRACTOR,140,123,26500,125,121 - 126,10,62,33228,30228,0.797520164,0.876670637,2444,0
TRACTOR,140,138,17325,140,139 - 144,50,83,23383,20383,0.740922893,0.849973017,2386,0
TRUCK,70,126,20800,131,127 - 132,10,162,23235,21235,0.895201205,0.979514952,2390,0
TRACTOR,130,64,17362,73,073 - 078,10,251,36224,35224,0.479295495,0.492902566,3299,0
TRACTOR,140,52,17000,61,061 - 066,10,296,22155,21155,0.767321147,0.803592531,3227,0
TRUCK,10,153,205,153,151 - 156,30,6,5501,3501,0.037265952,0.058554699,2756,0
TRAILER,180,155,3500,156,151 - 156,30,23,9717,8717,0.360193475,0.401514282,2709,0
TRACTOR,130,166,8000,166,163 - 168,30,4,19348,17348,0.413479429,0.461148259,2483,0
TRUCK,60,108,32500,108,103 - 108,10,17,38908,35908,0.835303794,0.905090788,2750,0
TRUCK,60,90,15800,93,091 - 096,10,87,21400,18400,0.738317757,0.858695652,2438,0
TRACTOR,140,81,15900,94,091 - 096,10,397,30408,27408,0.522888714,0.580122592,2785,1
TRAILER,190,119,4500,129,127 - 132,50,287,8403,7403,0.535523028,0.607861678,3408,1
TRACTOR,140,50,37341,54,049 - 054,10,120,42441,39441,0.87983318,0.946755914,2447,0
TRACTOR,130,64,29000,69,067 - 072,10,140,39183,38183,0.740116887,0.759500301,2382,0
TRUCK,110,65,15750,72,067 - 072,10,219,36500,35500,0.431506849,0.443661972,3172,0
TRACTOR,140,52,41900,61,061 - 066,10,259,48000,45000,0.872916667,0.931111111,2682,0
TRUCK,30,43,13700,49,049 - 054,10,183,28739,26739,0.47670413,0.512360223,3408,1
TRACTOR,170,74,37292,75,073 - 078,10,17,47210,41210,0.78991739,0.904925989,2447,0
TRACTOR,170,70,4950,79,079 - 084,30,270,13959,12959,0.354609929,0.381973918,2682,0
TRUCK,30,68,12500,74,073 - 078,10,205,26338,25338,0.474599438,0.493330176,2619,1
TRUCK,20,102,12000,112,109 - 114,10,305,18000,15000,0.666666667,0.8,2027,0
TRUCK,31,56,19900,59,055 - 060,50,92,22291,21291,0.892736979,0.93466723,2390,0
TRUCK,70,80,11800,85,085 - 090,10,161,34090,33090,0.346142564,0.356603203,2785,1
TRACTOR,140,75,35000,78,073 - 078,10,94,44105,41105,0.793560821,0.851477922,2754,0
TRUCK,30,76,24900,76,073 - 078,10,7,28356,27356,0.878121033,0.910220793,3227,0
TRACTOR,170,53,25250,59,055 - 060,10,189,44286,41286,0.570157612,0.611587463,3408,1
TRAILER,200,105,5000,117,115 - 120,10,357,12455,11455,0.401445203,0.436490616,3377,0
TRUCK,50,67,19000,73,073 - 078,10,201,39150,36150,0.485312899,0.525587829,3408,1
TRUCK,90,75,29500,80,079 - 084,10,138,34329,31329,0.85933176,0.941619586,2443,0
TRAILER,180,122,9200,122,121 - 126,50,7,14250,13250,0.645614035,0.694339623,2382,0
TRUCK,90,66,18000,75,073 - 078,10,270,39402,36402,0.456829603,0.494478325,3408,1
TRACTOR,170,63,31500,76,073 - 078,10,380,49468,46468,0.636775289,0.677885857,3408,1
TRACTOR,170,82,34000,84,079 - 084,10,39,39049,36049,0.870700914,0.943160698,3274,0
TRUCK,90,76,7800,85,085 - 090,10,294,20000,19000,0.39,0.410526316,2619,1
TRUCK,110,74,10600,88,085 - 090,50,426,33414,32414,0.317232298,0.327019189,2785,1
TRAILER,180,135,4000,145,145 - 150,50,301,13700,12700,0.291970803,0.31496063,2446,0
TRACTOR,170,76,30006,80,079 - 084,10,99,40500,37500,0.740888889,0.80016,3227,0
TRAILER,200,114,3500,130,127 - 132,10,458,8862,7862,0.394944708,0.445179344,2772,0
TRUCK,100,74,47900,75,073 - 078,10,12,49492,46492,0.967833185,1.03028478,3172,0
TRACTOR,170,84,25000,87,085 - 090,10,114,33700,27700,0.741839763,0.902527076,3274,0
TRACTOR,170,77,33000,80,079 - 084,10,82,38448,35448,0.858302122,0.930941097,3274,0
TRACTOR,170,62,26000,70,067 - 072,10,214,41500,38500,0.626506024,0.675324675,2495,0
TRACTOR,140,114,18500,120,115 - 120,10,177,29050,26050,0.636833047,0.710172745,2404,0
TRAILER,180,127,10240,129,127 - 132,10,77,12375,11375,0.827474748,0.90021978,2566,0
TRACTOR,140,78,32300,83,079 - 084,10,142,38808,35808,0.832302618,0.902033065,3403,0
TRUCK,70,84,10300,90,085 - 090,50,188,28825,27825,0.357328708,0.37017071,2785,1
TRACTOR,140,70,34300,75,073 - 078,10,133,43647,40647,0.785850116,0.843850715,2495,0
TRACTOR,170,80,40500,82,079 - 084,10,44,47048,44048,0.860822989,0.919451507,2686,0
TRACTOR,140,117,34000,117,115 - 120,10,2,38947,35947,0.872981231,0.945836927,3403,0
TRAILER,190,138,3900,143,139 - 144,30,152,6502,5502,0.599815441,0.708833152,2725,0
TRACTOR,140,110,34370,111,109 - 114,10,54,41352,38352,0.831156897,0.896172299,2616,0
TRUCK,60,44,20300,57,055 - 060,10,389,38305,35305,0.529956925,0.574989378,2390,0
TRACTOR,130,129,15505,131,127 - 132,10,82,19223,17223,0.806585861,0.900249666,2380,0
TRUCK,60,77,31000,77,073 - 078,10,6,36263,33263,0.854865841,0.931966449,2382,0
TRACTOR,140,80,12905,92,091 - 096,10,377,33725,32725,0.382653818,0.39434683,3408,1
TRUCK,50,81,18405,82,079 - 084,50,35,24750,21750,0.743636364,0.846206897,3227,0
TRUCK,60,107,27555,108,103 - 108,10,29,30555,27555,0.901816397,1,2495,0
TRAILER,180,142,1600,144,139 - 144,30,47,4854,3854,0.329625052,0.415153088,2483,0
TRACTOR,140,82,25614,85,085 - 090,10,89,33614,30614,0.762003927,0.836676031,3172,0
TRUCK,21,78,17000,86,085 - 090,10,260,24244,22244,0.701204422,0.764251034,2382,0
TRUCK,90,113,2700,121,121 - 126,30,244,13731,10731,0.196635351,0.251607492,2754,0
TRACTOR,130,118,17500,125,121 - 126,10,240,26320,24320,0.664893617,0.719572368,1328,0
TRUCK,90,52,24000,59,055 - 060,10,222,34180,31180,0.702165009,0.769724182,2390,0
TRUCK,60,80,19000,91,091 - 096,10,324,35562,32562,0.534278162,0.583502242,2619,1
TRUCK,60,66,12300,81,079 - 084,50,465,31390,28390,0.391844537,0.433251145,2785,1
TRAILER,200,134,3500,136,133 - 138,30,45,9059,8059,0.38635611,0.434297059,2686,0
TRUCK,20,67,12405,71,067 - 072,10,121,18398,16398,0.674258072,0.756494695,2756,0
TRUCK,10,96,6800,98,097 - 102,50,51,12200,11200,0.557377049,0.607142857,3227,0
TRUCK,20,77,10800,83,079 - 084,10,184,21000,18000,0.514285714,0.6,2785,1
TRAILER,200,153,3000,156,151 - 156,50,88,4000,3000,0.75,1,3280,0
TRAILER,180,143,6000,143,139 - 144,30,7,9750,8750,0.615384615,0.685714286,2382,0
TRACTOR,130,122,2500,127,127 - 132,30,138,22132,20132,0.112958612,0.124180409,2344,0
TRACTOR,140,125,24650,126,121 - 126,10,46,30364,27364,0.811816625,0.900818594,3274,0
TRUCK,60,73,18000,80,079 - 084,10,212,26400,23400,0.681818182,0.769230769,2390,0
TRACTOR,170,61,19250,72,067 - 072,10,330,41112,38112,0.468233119,0.50509026,2619,1
TRACTOR,140,82,28000,92,091 - 096,10,297,38786,35786,0.721909968,0.782428883,2495,0
TRUCK,110,87,15900,93,091 - 096,10,210,25518,22518,0.623089584,0.706101785,2390,0
TRAILER,200,118,9000,123,121 - 126,50,144,12250,11250,0.734693878,0.8,2445,0
TRACTOR,170,122,23600,126,121 - 126,50,107,28639,25639,0.824051119,0.920472717,2438,0
TRAILER,200,132,11800,132,127 - 132,10,11,14111,13111,0.836227057,0.900007627,2495,0
TRAILER,180,136,13000,137,133 - 138,50,47,13495,12495,0.963319748,1.040416167,2709,0
TRACTOR,140,82,20495,84,079 - 084,50,49,42373,39373,0.483680646,0.520534376,2771,0
TRUCK,30,100,12700,106,103 - 108,10,206,26023,23023,0.48802982,0.551622291,2619,1
TRUCK,80,114,33735,116,115 - 120,10,68,32130,29130,1.049953315,1.158084449,2386,0
TRAILER,180,138,8900,139,139 - 144,50,32,12110,11110,0.73492981,0.801080108,3227,0
TRAILER,180,99,15000,104,103 - 108,10,180,21250,20250,0.705882353,0.740740741,2446,0
TRACTOR,140,102,18000,110,109 - 114,10,249,32751,29751,0.549601539,0.60502168,2785,1
TRUCK,60,64,17500,70,067 - 072,10,199,46125,43125,0.379403794,0.405797101,2785,1
TRACTOR,140,101,22000,106,103 - 108,10,151,38853,35853,0.566236841,0.613616713,2619,1
TRUCK,10,98,5000,104,103 - 108,10,182,11406,8406,0.438365772,0.594813229,3408,1
TRAILER,180,139,5500,140,139 - 144,30,19,8490,7490,0.647820966,0.734312417,2686,0
TRUCK,30,56,22500,58,055 - 060,10,63,24220,23220,0.928984311,0.968992248,2405,0
TRUCK,60,47,22500,54,049 - 054,10,225,49650,46650,0.453172205,0.482315113,2785,1
TRACTOR,140,65,36500,65,061 - 066,10,16,39244,38244,0.930078483,0.954398076,3403,0
TRACTOR,170,40,49155,44,043 - 048,10,114,59367,56367,0.827985244,0.872052797,2756,0
TRAILER,180,121,5000,121,121 - 126,30,1,11290,10290,0.442869796,0.485908649,2380,0
TRAILER,190,146,9000,153,151 - 156,50,221,12050,11050,0.746887967,0.814479638,2686,0
TRAILER,180,117,6000,121,121 - 126,30,110,12725,11725,0.47151277,0.511727079,2709,0
TRACTOR,130,137,16800,137,133 - 138,10,2,20363,18363,0.825025782,0.914883189,2392,0
TRUCK,60,34,15100,41,037 - 042,50,211,34972,33972,0.431773991,0.444483693,2619,1
TRUCK,60,39,13700,48,043 - 048,10,272,40700,40700,0.336609337,0.336609337,2785,1
TRUCK,21,50,19500,51,049 - 054,50,10,30097,29097,0.647905107,0.670172183,1328,0
TRUCK,70,59,27805,60,055 - 060,10,15,44302,41302,0.627624035,0.673211951,2380,0
TRUCK,21,47,22213,50,049 - 054,50,90,24588,23588,0.903408167,0.941707648,2443,0
TRACTOR,140,87,19000,91,091 - 096,50,114,45000,42000,0.422222222,0.452380952,3403,0
TRACTOR,140,89,7500,94,091 - 096,30,140,27523,26523,0.272499364,0.282773442,3403,0
TRUCK,70,84,40000,86,085 - 090,10,68,43052,40052,0.929108985,0.998701688,2686,0
TRUCK,60,97,22655,98,097 - 102,10,27,26095,23095,0.86817398,0.980948257,2682,0
TRACTOR,170,69,31000,76,073 - 078,10,217,37594,34594,0.82459967,0.896109152,3381,0
TRUCK,60,83,27000,89,085 - 090,10,200,47650,44650,0.566631689,0.604703248,2785,1
TRUCK,60,69,31800,76,073 - 078,10,214,42711,39711,0.744538878,0.800785677,2616,0
TRACTOR,140,84,15750,91,091 - 096,50,231,31502,28502,0.499968256,0.552592801,2785,1
TRACTOR,140,93,4700,94,091 - 096,30,7,29469,26469,0.159489633,0.17756621,2768,0
TRACTOR,140,76,22000,81,079 - 084,10,147,40425,37425,0.544217687,0.587842351,3408,1
TRACTOR,140,73,35650,75,073 - 078,10,45,42566,39566,0.837522906,0.901026134,2443,0
TRACTOR,140,90,17000,91,091 - 096,50,13,32635,29635,0.52091313,0.573646027,1328,0
TRUCK,21,64,8750,78,073 - 078,10,418,23871,21871,0.366553559,0.400073156,3408,1
TRUCK,60,72,7600,86,085 - 090,50,441,15600,12600,0.487179487,0.603174603,2619,1
TRUCK,70,89,15490,96,091 - 096,50,221,26307,23307,0.588816665,0.6646072,3274,0
TRUCK,50,75,26081,79,079 - 084,10,136,35772,32772,0.729089791,0.795831808,2443,0
TRACTOR,140,90,27680,91,091 - 096,10,42,32760,29760,0.844932845,0.930107527,2566,0
TRACTOR,140,95,23501,98,097 - 102,10,101,31110,28110,0.755416265,0.836036998,3227,0
TRUCK,30,87,16400,92,091 - 096,10,146,19989,17989,0.820451248,0.911668242,2382,0
TRUCK,30,69,14500,76,073 - 078,10,214,28543,26543,0.508005465,0.546283389,2408,1
TRACTOR,140,56,35000,64,061 - 066,10,264,60472,57472,0.578780262,0.608992205,2408,1
TRACTOR,140,81,13465,90,085 - 090,10,270,26919,23919,0.500204317,0.562941595,2785,1
TRUCK,70,87,14000,94,091 - 096,50,198,34251,31251,0.40874719,0.447985665,2785,1
TRUCK,60,75,11300,81,079 - 084,10,207,42683,39683,0.264742403,0.284756697,2619,1
TRUCK,70,86,20495,92,091 - 096,50,204,29375,26375,0.697702128,0.777061611,2686,0
TRUCK,60,102,14515,104,103 - 108,50,51,21829,18829,0.664941133,0.770885336,3377,0
TRUCK,60,77,12000,79,079 - 084,30,63,34649,31649,0.346330341,0.379158899,3408,1
TRUCK,80,64,22805,77,073 - 078,10,381,30060,27060,0.758649368,0.842756837,2725,0
TRUCK,30,82,9500,88,085 - 090,10,173,23946,21946,0.396725967,0.432880707,2785,1
TRACTOR,170,69,29000,75,073 - 078,10,174,39000,36000,0.743589744,0.805555556,2768,0
TRACTOR,140,85,13465,91,091 - 096,50,193,22704,19704,0.593067301,0.683363784,2785,1
TRUCK,110,88,10800,94,091 - 096,50,211,33788,30788,0.319640109,0.350786021,2785,1
TRACTOR,140,88,23958,91,091 - 096,10,78,34119,31119,0.702189396,0.769883351,3196,0
TRACTOR,170,105,40411,106,103 - 108,10,41,40939,37939,0.987102763,1.065157226,2682,0
TRACTOR,130,93,6905,96,091 - 096,30,91,11500,8500,0.600434783,0.812352941,2445,0
TRACTOR,130,88,10000,95,091 - 096,50,183,18919,15919,0.528569163,0.628180162,2619,1
TRAILER,180,129,1500,129,127 - 132,30,18,6520,5520,0.23006135,0.27173913,3196,0
TRUCK,80,82,8700,90,085 - 090,10,275,34810,31810,0.249928182,0.2734989,2408,1
TRUCK,50,68,18905,73,073 - 078,10,147,28685,25685,0.659055255,0.736032704,2756,0
TRACTOR,140,69,36000,72,067 - 072,10,91,45000,42000,0.8,0.857142857,2768,0
TRUCK,60,73,21905,74,073 - 078,10,28,24755,21755,0.884871743,1.006894967,2567,0
TRUCK,60,99,21000,105,103 - 108,50,190,31900,28900,0.65830721,0.726643599,2756,0
TRACTOR,130,82,15500,93,091 - 096,10,323,35848,32848,0.432381165,0.471870434,2785,1
TRAILER,200,112,13100,113,109 - 114,50,30,15450,14450,0.84789644,0.906574395,2444,0
TRACTOR,130,81,19000,90,085 - 090,10,280,28750,26750,0.660869565,0.710280374,2725,0
TRAILER,180,122,9405,123,121 - 126,50,35,14700,13700,0.639795918,0.68649635,2566,0
TRACTOR,140,83,25900,88,085 - 090,10,150,45688,42688,0.566888461,0.606727886,2392,0
TRAILER,200,90,20905,96,091 - 096,10,201,36000,35000,0.580694444,0.597285714,2682,0
TRAILER,180,132,7400,134,133 - 138,30,42,8400,7400,0.880952381,1,3123,0
TRACTOR,140,83,14500,98,097 - 102,10,454,29260,26260,0.495557075,0.552170602,3299,0
TRACTOR,170,84,26000,91,091 - 096,10,219,55000,50000,0.472727273,0.52,2619,1
TRUCK,21,95,7000,101,097 - 102,10,168,18370,16370,0.38105607,0.427611484,3408,1
TRUCK,60,95,25405,97,097 - 102,10,86,30707,27707,0.827335787,0.916916303,2380,0
TRACTOR,140,59,29500,68,067 - 072,10,279,44525,41525,0.66254913,0.710415412,2785,1
TRUCK,90,67,11600,73,073 - 078,10,165,31357,31357,0.369933348,0.369933348,2785,1
TRACTOR,140,87,24495,102,097 - 102,10,441,37726,34726,0.649286964,0.705379255,2709,0
TRUCK,60,51,30750,60,055 - 060,10,295,46845,43845,0.656420109,0.701334246,3274,0
TRUCK,60,61,31250,65,061 - 066,10,120,39409,36409,0.792966074,0.858304265,2682,0
TRUCK,60,51,13300,58,055 - 060,10,212,31400,28400,0.423566879,0.468309859,2619,1
TRACTOR,170,71,13050,80,079 - 084,10,287,36583,35583,0.356723068,0.366748166,2785,1
TRUCK,30,71,13405,76,073 - 078,10,142,16261,15261,0.824365045,0.878382806,2382,0
TRUCK,30,31,11500,44,043 - 048,10,389,33013,30013,0.348347621,0.383167294,3408,1
TRUCK,60,67,36111,71,067 - 072,10,97,27436,26436,1.316190407,1.365978212,1695,0
TRUCK,90,65,23500,72,067 - 072,10,212,41093,38093,0.571873555,0.616911244,2785,1
TRUCK,90,78,32600,80,079 - 084,10,53,37131,36131,0.877972584,0.902272287,3403,0
TRACTOR,170,96,46455,101,097 - 102,10,137,53900,48900,0.86187384,0.95,2771,0
TRUCK,10,65,7980,69,067 - 072,10,107,9399,8399,0.849026492,0.950113109,2483,0
TRACTOR,131,104,27000,106,103 - 108,50,45,37000,34000,0.72972973,0.794117647,2772,0
TRUCK,90,83,12835,95,091 - 096,10,385,36195,33195,0.35460699,0.386654617,2785,1
TRUCK,30,81,6250,88,085 - 090,10,226,22610,20610,0.27642636,0.303250849,3408,1
TRACTOR,140,88,41700,91,091 - 096,10,90,45756,44756,0.911355888,0.931718652,3227,0
TRUCK,90,83,9300,91,091 - 096,50,244,19926,19926,0.46672689,0.46672689,2785,1
TRUCK,70,84,31900,87,085 - 090,10,89,36456,35456,0.87502743,0.899706679,3172,0
TRUCK,30,62,14600,70,067 - 072,10,257,25461,23461,0.573426024,0.622309365,2619,1
TRACTOR,170,44,35500,54,049 - 054,10,296,50250,47250,0.706467662,0.751322751,2380,0
TRACTOR,170,54,26500,57,055 - 060,10,101,45659,42659,0.580389408,0.621205373,3408,1
TRACTOR,140,50,37000,61,061 - 066,10,337,54147,51147,0.683325023,0.723405087,2771,0
TRUCK,90,74,15500,82,079 - 084,10,237,33000,30000,0.46969697,0.516666667,2619,1
TRUCK,90,74,24000,82,079 - 084,10,234,37765,34765,0.635509069,0.690349489,1328,0
TRUCK,70,125,15000,125,121 - 126,30,18,40512,38512,0.370260664,0.38948899,2709,0
TRACTOR,170,84,29995,89,085 - 090,10,147,37200,31200,0.806317204,0.961378205,3227,0
TRUCK,21,55,13200,62,061 - 066,10,235,28387,26387,0.465001585,0.500246333,3408,1
TRUCK,21,85,17700,85,085 - 090,10,15,24147,23147,0.733010312,0.764677928,3227,0
TRUCK,50,72,10300,85,085 - 090,50,399,32781,29781,0.3142064,0.345858097,2785,1
TRACTOR,140,106,30000,110,109 - 114,10,116,35857,32857,0.83665672,0.913047448,2754,0
TRUCK,30,107,16300,113,109 - 114,10,164,21632,18632,0.753513314,0.874838987,2567,0
TRACTOR,130,106,26001,108,103 - 108,10,59,28335,26335,0.917628375,0.987317258,2768,0
TRACTOR,140,89,4950,91,091 - 096,30,59,8555,7555,0.578609001,0.655195235,2682,0
TRACTOR,140,78,40500,78,073 - 078,10,4,45975,42975,0.88091354,0.942408377,2446,0
TRACTOR,140,92,13905,95,091 - 096,10,80,29832,28832,0.466110217,0.482276637,2756,0
TRUCK,60,96,5000,106,103 - 108,30,317,17150,14150,0.29154519,0.353356891,2785,0
TRUCK,30,106,20905,109,109 - 114,10,98,26097,23097,0.801049929,0.9050959,2756,0
TRAILER,180,158,4750,166,163 - 168,50,229,9882,8882,0.480671929,0.534789462,2619,1
TRACTOR,140,90,10000,94,091 - 096,10,121,27102,26102,0.368976459,0.383112405,2785,1
TRUCK,10,154,1000,156,151 - 156,30,58,6490,5490,0.154083205,0.182149363,2682,0
TRACTOR,140,73,31800,75,073 - 078,10,74,36744,33744,0.86544742,0.942389758,3227,0
TRUCK,70,98,11200,106,103 - 108,10,245,36266,35266,0.308829206,0.317586344,2785,1
TRACTOR,170,44,38206,54,049 - 054,10,297,57503,54503,0.664417509,0.700988936,2483,0
TRACTOR,140,93,18000,97,097 - 102,10,109,33065,32065,0.544382277,0.561359738,2619,1
TRUCK,60,107,27500,110,109 - 114,10,99,31300,28300,0.878594249,0.971731449,2709,0
TRUCK,60,86,34500,89,085 - 090,10,84,40686,39686,0.847957528,0.869324195,2686,0
TRACTOR,140,94,28200,95,091 - 096,10,21,31611,30611,0.892094524,0.921237464,2438,0
TRACTOR,130,136,10700,144,139 - 144,10,214,15700,13700,0.681528662,0.781021898,2686,0
TRUCK,50,86,20900,91,091 - 096,10,141,27843,26843,0.750637503,0.778601498,3403,0
TRUCK,30,83,9500,89,085 - 090,10,183,18560,16560,0.511853448,0.573671498,2619,1
TRAILER,180,134,6750,138,133 - 138,50,138,10520,9520,0.641634981,0.709033613,2756,0
TRACTOR,140,106,22500,107,103 - 108,30,40,34229,31229,0.657337346,0.720484165,2709,0
TRACTOR,170,67,18000,73,073 - 078,10,196,32987,29987,0.545669506,0.600260113,3408,1
TRUCK,120,110,22500,117,115 - 120,10,188,40193,37193,0.55979897,0.604952545,2785,1
TRAILER,200,127,16905,134,133 - 138,10,222,23750,22750,0.711789474,0.743076923,2344,0
TRAILER,200,124,10000,124,121 - 126,30,3,13582,12582,0.736268591,0.794786203,2381,0
TRACTOR,170,80,10500,85,085 - 090,30,141,21628,18628,0.485481783,0.563667597,3227,0
TRUCK,60,69,25000,75,073 - 078,10,198,36363,33363,0.687512032,0.749333094,2785,1
TRUCK,90,109,29000,112,109 - 114,50,67,36500,33500,0.794520548,0.865671642,3408,1
TRACTOR,140,93,17050,95,091 - 096,50,59,41141,38141,0.414428429,0.447025511,1328,0
TRUCK,21,88,17800,90,085 - 090,50,62,20119,19119,0.884735822,0.931011036,2438,0
TRUCK,60,158,5500,158,157 - 162,10,21,15000,12000,0.366666667,0.458333333,2405,0
TRAILER,200,125,3500,126,121 - 126,30,26,16400,15400,0.213414634,0.227272727,2344,0
TRUCK,80,83,11500,90,085 - 090,50,219,20035,17035,0.573995508,0.675080716,2785,1
TRACTOR,140,102,21905,109,109 - 114,10,209,29453,26453,0.743727294,0.82807243,2386,0
TRACTOR,140,107,19600,109,109 - 114,50,72,30097,27097,0.651227697,0.723327306,2785,1
TRACTOR,140,89,7000,100,097 - 102,30,334,35326,32326,0.198154334,0.216543958,3274,0
TRACTOR,132,115,17900,119,115 - 120,10,133,24898,21898,0.718933248,0.817426249,2390,0
TRAILER,190,133,4000,135,133 - 138,30,63,10446,8446,0.382921693,0.473596969,2443,0
TRAILER,200,85,27000,88,085 - 090,10,93,29500,28500,0.915254237,0.947368421,3403,0
TRUCK,70,92,25900,96,091 - 096,50,117,30625,29625,0.845714286,0.874261603,2390,0
TRAILER,200,131,6500,143,139 - 144,10,359,9500,8500,0.684210526,0.764705882,2495,0
TRUCK,60,82,13500,89,085 - 090,50,210,34400,31400,0.392441861,0.429936306,2785,1
TRUCK,60,92,20500,93,091 - 096,10,11,23064,20064,0.888831079,1.021730463,3274,0
TRAILER,180,133,9500,133,133 - 138,50,11,14415,13415,0.659035727,0.708162505,2709,0
TRUCK,60,144,19000,146,145 - 150,50,47,21119,20119,0.89966381,0.944380933,3196,0
TRUCK,110,86,20500,99,097 - 102,10,391,31727,28727,0.646137359,0.71361437,2390,0
TRACTOR,170,99,20500,107,103 - 108,10,244,33740,28740,0.607587433,0.71329158,2408,1
TRACTOR,140,93,27905,98,097 - 102,10,165,33680,30680,0.828533254,0.909550196,2756,0
TRACTOR,130,95,24083,101,097 - 102,10,194,26083,24083,0.923321704,1,2443,0
TRUCK,70,91,16500,100,097 - 102,10,252,30791,28791,0.535870871,0.573095759,2785,1
TRAILER,180,123,5705,124,121 - 126,30,26,9575,8575,0.595822454,0.665306122,2344,0
TRUCK,30,90,4500,100,097 - 102,30,321,18323,17323,0.245592971,0.259770248,2771,0
TRUCK,60,98,22000,103,103 - 108,10,174,25292,25292,0.869840266,0.869840266,3227,0
TRUCK,50,75,16500,86,085 - 090,10,324,35785,32785,0.461087048,0.503278939,2785,1
TRAILER,180,126,4300,126,121 - 126,30,1,9050,8050,0.475138122,0.534161491,2768,0
TRUCK,90,82,3500,94,091 - 096,30,384,15500,12500,0.225806452,0.28,1328,0
TRUCK,80,101,13500,104,103 - 108,50,90,23646,20646,0.570921086,0.653879686,2408,1
TRACTOR,130,138,21750,139,139 - 144,10,29,26790,23790,0.811870101,0.914249685,3280,0
TRACTOR,130,128,15000,137,133 - 138,10,276,25865,22865,0.579934274,0.656024492,2619,1
TRACTOR,130,97,24000,97,097 - 102,10,8,27717,25717,0.865894577,0.933234825,2382,0
TRACTOR,130,104,16000,118,115 - 120,10,445,24620,22620,0.649878148,0.707338638,2380,0
TRACTOR,140,116,17500,116,115 - 120,50,0,35206,32206,0.497074362,0.543377011,2408,1
TRUCK,80,114,26000,114,109 - 114,30,0,29556,26556,0.87968602,0.979063112,2027,0
TRAILER,190,126,26000,129,127 - 132,50,69,38950,37950,0.667522465,0.68511199,3274,0
TRAILER,180,154,4500,155,151 - 156,30,32,14950,13950,0.301003345,0.322580645,2443,0
TRAILER,180,103,9000,111,109 - 114,10,257,19250,18250,0.467532468,0.493150685,2443,0
TRACTOR,140,98,30000,102,097 - 102,10,114,35642,32642,0.841703608,0.919061332,2709,0
TRAILER,200,120,4500,128,127 - 132,10,231,7400,6400,0.608108108,0.703125,2772,0
TRAILER,200,125,20500,128,127 - 132,10,86,20500,19500,1,1.051282051,2446,0
TRAILER,180,124,6000,124,121 - 126,30,4,17250,16250,0.347826087,0.369230769,2566,0
TRAILER,200,118,13300,132,127 - 132,10,434,20000,19000,0.665,0.7,3377,0
TRACTOR,170,40,41000,43,043 - 048,50,80,54601,51601,0.750901998,0.794558245,2709,0
TRUCK,21,42,20100,44,043 - 048,50,74,23076,22076,0.871034841,0.910491031,3274,0
TRUCK,31,39,25000,52,049 - 054,10,403,46000,43000,0.543478261,0.581395349,2750,0
TRACTOR,170,90,31000,92,091 - 096,10,58,35441,32441,0.874693152,0.955580901,2446,0
TRACTOR,140,85,24905,87,085 - 090,50,63,32458,29458,0.767299279,0.845440967,2682,0
TRUCK,90,94,32500,99,097 - 102,10,153,40402,37402,0.804415623,0.86893749,2709,0
TRUCK,60,93,21000,99,097 - 102,10,180,43791,40791,0.479550593,0.514819446,2785,1
TRUCK,30,57,15100,63,061 - 066,10,192,33068,30068,0.456634813,0.502195025,2785,1
TRUCK,21,57,20600,64,061 - 066,10,190,27695,25695,0.743816573,0.801712395,2483,0
TRUCK,50,74,12250,81,079 - 084,50,227,28900,25900,0.423875433,0.472972973,3408,1
TRAILER,200,104,17800,106,103 - 108,10,44,20220,19220,0.880316518,0.926118626,2390,0
TRUCK,60,65,30580,69,067 - 072,10,123,45648,43648,0.669908868,0.700604839,2756,0
TRUCK,60,68,35000,73,073 - 078,10,156,46558,44558,0.751750505,0.785493065,2754,0
TRACTOR,140,93,23000,94,091 - 096,50,13,32301,29301,0.712052258,0.784956145,2382,0
TRUCK,21,87,5000,93,091 - 096,30,159,16620,15620,0.300842359,0.320102433,2567,0
TRUCK,21,81,12432,83,079 - 084,30,70,15086,13086,0.824075302,0.950022925,3381,0
